"
Translate to Spanish:
to pay
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/854/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

pagar
"
"
Translate to Spanish:
to learn
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/855/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

aprender
"
"
Translate to Spanish:
to ask (a question)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/856/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

preguntar, hacer una pregunta
"
"
Translate to Spanish:
to think
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/857/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

pensar
"
"
Translate to Spanish:
to bring
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/858/a_sound.mp3?1326221616 type=""audio/mpeg""></audio><br>

traer
"
"
Translate to Spanish:
to enter
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/859/a_sound.mp3?1326221616 type=""audio/mpeg""></audio><br>

entrar
"
"
Translate to Spanish:
to sing
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/861/a_sound.mp3?1326221616 type=""audio/mpeg""></audio><br>

cantar
"
"
Translate to Spanish:
to have
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/862/a_sound.mp3?1326221616 type=""audio/mpeg""></audio><br>

tener
"
"
Translate to Spanish:
to watch
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/863/a_sound.mp3?1326221617 type=""audio/mpeg""></audio><br>

mirar
"
"
Translate to Spanish:
to call
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/864/a_sound.mp3?1326221617 type=""audio/mpeg""></audio><br>

llamar
"
"
Translate to Spanish:
to have fun
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/865/a_sound.mp3?1326221617 type=""audio/mpeg""></audio><br>

divertirse
"
"
Translate to Spanish:
to understand
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/866/a_sound.mp3?1326221617 type=""audio/mpeg""></audio><br>

comprender, entender
"
"
Translate to Spanish:
to eat
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/867/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

comer
"
"
Translate to Spanish:
to feel
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/868/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

sentirse
"
"
Translate to Spanish:
to go
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/869/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

ir
"
"
Translate to Spanish:
to play (a sport)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/870/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

jugar (un deporte)
"
"
Translate to Spanish:
to put
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/871/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

poner
"
"
Translate to Spanish:
to rain
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/872/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

llover
Side note mnemonic: I love r(rain)
"
"
Translate to Spanish:
to move (physically)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/873/a_sound.mp3?1326221618 type=""audio/mpeg""></audio><br>

mover
"
"
Translate to Spanish:
to move (i.e. change houses)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/960/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

mudarse
"
"
Translate to Spanish:
to look for
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/874/a_sound.mp3?1326221619 type=""audio/mpeg""></audio><br>

buscar
"
"
Translate to Spanish:
to spend (time)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/875/a_sound.mp3?1326221619 type=""audio/mpeg""></audio><br>

pasar (tiempo)
"
"
Translate to Spanish:
to wait for (the bus)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/876/a_sound.mp3?1574043759 type=""audio/mpeg""></audio><br>

esperar (el autobús)
"
"
Translate to Spanish:
to work
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/877/a_sound.mp3?1326221619 type=""audio/mpeg""></audio><br>

trabajar
"
"
Translate to Spanish:
to arrive
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/878/a_sound.mp3?1326221619 type=""audio/mpeg""></audio><br>

llegar
"
"
Translate to Spanish:
to listen (to)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/879/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

escuchar
"
"
Translate to Spanish:
to dance
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/880/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

bailar
"
"
Translate to Spanish:
to travel
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/881/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

viajar
"
"
Translate to Spanish:
to try to, to attempt
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/882/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

tratar de
"
"
Translate to Spanish:
to serve
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/883/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

servir
"
"
Translate to Spanish:
to start over
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/884/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

volver a empezar
"
"
Translate to Spanish:
to take out
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/885/a_sound.mp3?1326221620 type=""audio/mpeg""></audio><br>

sacar
"
"
Translate to Spanish:
to shout, to yell
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/886/a_sound.mp3?1326221621 type=""audio/mpeg""></audio><br>

gritar
"
"
Translate to Spanish:
to throw out
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/887/a_sound.mp3?1326221621 type=""audio/mpeg""></audio><br>

botar
"
"
Translate to Spanish:
to try (e.g. food)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/888/a_sound.mp3?1326221621 type=""audio/mpeg""></audio><br>

probar (e.g. comida)
"
"
Translate to Spanish:
to cook
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/889/a_sound.mp3?1326221621 type=""audio/mpeg""></audio><br>

cocinar
"
"
Translate to Spanish:
to sit down
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/890/a_sound.mp3?1326221621 type=""audio/mpeg""></audio><br>

sentarse
"
"
Translate to Spanish:
to hug
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/891/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

abrazar
"
"
Translate to Spanish:
to need
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/892/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

necesitar
"
"
Translate to Spanish:
to use
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/893/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

usar
"
"
Translate to Spanish:
to walk
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/894/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

caminar
"
"
Translate to Spanish:
to return, to come back
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/895/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

volver, regresar
"
"
Translate to Spanish:
to find
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/896/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

encontrar
"
"
Translate to Spanish:
to die
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/897/a_sound.mp3?1326221622 type=""audio/mpeg""></audio><br>

morir
"
"
Translate to Spanish:
to prefer
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/899/a_sound.mp3?1326221623 type=""audio/mpeg""></audio><br>

preferir
"
"
Translate to Spanish:
to paint
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/900/a_sound.mp3?1326221623 type=""audio/mpeg""></audio><br>

pintar
"
"
Translate to Spanish:
to burn
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/901/a_sound.mp3?1326221623 type=""audio/mpeg""></audio><br>

quemar
"
"
Translate to Spanish:
to cut
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/902/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

cortar
"
"
Translate to Spanish:
to choose
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/903/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

escoger
"
"
Translate to Spanish:
to describe
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/904/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

describir
"
"
Translate to Spanish:
to correct
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/905/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

corregir
"
"
Translate to Spanish:
to open
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/906/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

abrir
"
"
Translate to Spanish:
to cover
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/907/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

cubrir
"
"
Translate to Spanish:
to cost
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/908/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

costar
"
"
Translate to Spanish:
to go up (stairs)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/909/a_sound.mp3?1326221624 type=""audio/mpeg""></audio><br>

subir (las escaleras)
"
"
Translate to Spanish:
to fly
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/910/a_sound.mp3?1326221625 type=""audio/mpeg""></audio><br>

volar
"
"
Translate to Spanish:
to smile
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/911/a_sound.mp3?1326221625 type=""audio/mpeg""></audio><br>

sonreír
"
"
Translate to Spanish:
to win
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/912/a_sound.mp3?1326221625 type=""audio/mpeg""></audio><br>

ganar
"
"
Translate to Spanish:
to accompany, to go with
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/913/a_sound.mp3?1326221625 type=""audio/mpeg""></audio><br>

acompañar
"
"
Translate to spanish
to hurt (body parts)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/914/a_sound.mp3?1574043659 type=""audio/mpeg""></audio><br>

doler
"
"
Translate to Spanish:
to return (something), to give back
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/915/a_sound.mp3?1326221625 type=""audio/mpeg""></audio><br>

devolver (algo)
"
"
Translate to Spanish:
to kill
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/916/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

matar
"
"
Translate to Spanish:
to pick up
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/917/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

recoger
"
"
Translate to Spanish:
to stop (doing something)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/918/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

parar (de hacer algo)
"
"
Translate to Spanish:
to run
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/919/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

correr
"
"
Translate to Spanish:
to leave, to give up
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/920/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

dejar
"
"
Translate to Spanish:
to help
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/921/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

ayudar
"
"
Translate to Spanish:
to touch (an object)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/922/a_sound.mp3?1326221626 type=""audio/mpeg""></audio><br>

tocar (un objeto)
"
"
Translate to Spanish:
to forget
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/923/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

olvidar
"
"
Translate to Spanish:
to show
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/924/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

mostrar
"
"
Translate to Spanish:
to teach
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/925/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

enseñar
"
"
Translate to Spanish:
to laugh
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/926/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

reírse
"
"
Translate to Spanish:
to seem / to look like
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/927/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

parecer
"
"
Translate to Spanish:
to practice
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/928/a_sound.mp3?1326221627 type=""audio/mpeg""></audio><br>

practicar
"
"
Translate to Spanish:
to lack, to fall short
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/930/a_sound.mp3?1326221628 type=""audio/mpeg""></audio><br>

faltar
"
"
Translate to Spanish:
to fight
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/931/a_sound.mp3?1326221628 type=""audio/mpeg""></audio><br>

pelear, luchar
"
"
Translate to Spanish:
to translate
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/932/a_sound.mp3?1326221628 type=""audio/mpeg""></audio><br>

traducir
"
"
Translate to Spanish:
to dry
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/933/a_sound.mp3?1326221628 type=""audio/mpeg""></audio><br>

secar
"
"
Translate to Spanish:
to snow
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/934/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

nevar
"
"
Translate to Spanish:
to greet, to say hi
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/935/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

saludar
"
"
Translate to Spanish:
to destroy
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/936/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

destruir
"
"
Translate to Spanish:
to rent
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/937/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

alquilar
"
"
Translate to Spanish:
to articulate, to pronounce
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/938/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

articular, pronunciar
"
"
Translate to spanish
to eat dinner
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/939/a_sound.mp3?1574043694 type=""audio/mpeg""></audio><br>

cenar
"
"
Translate to Spanish:
to rest
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/940/a_sound.mp3?1326221629 type=""audio/mpeg""></audio><br>

descansar
"
"
Translate to Spanish:
to marry
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/941/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

casarse con
"
"
Translate to Spanish:
to spend (money)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/942/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

gastar (dinero)
"
"
Translate to Spanish:
to make better
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/943/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

mejorar
"
"
Translate to Spanish:
to dream (about)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/944/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

soñar (con)
"
"
Translate to Spanish:
to smell like
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/945/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

oler a
"
"
Translate to Spanish:
to clean
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/946/a_sound.mp3?1326221630 type=""audio/mpeg""></audio><br>

limpiar
"
"
Translate to Spanish:
to swim
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/947/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

nadar
"
"
Translate to Spanish:
to close
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/948/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

cerrar
"
"
Translate to Spanish:
to get dressed
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/949/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

vestirse
"
"
Translate to Spanish:
to be important, to matter
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/950/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

importar (ser importante)
"
"
Translate to Spanish:
to answer, to respond
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/951/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

responder
"
"
Translate to Spanish:
to wake up
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/952/a_sound.mp3?1326221631 type=""audio/mpeg""></audio><br>

despertarse
"
"
Translate to Spanish:
to assure, to ensure
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/953/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

asegurar
"
"
Translate to Spanish:
to recognize
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/954/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

reconocer
"
"
Translate to Spanish:
to warn
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/955/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

advertir
"
"
Translate to Spanish:
to prepare
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/956/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

preparar
"
"
Translate to Spanish:
to steal
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/957/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

robar
"
"
Translate to Spanish:
to drive (a car)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/958/a_sound.mp3?1326221632 type=""audio/mpeg""></audio><br>

manejar (un carro)
"
"
Translate to Spanish:
to sign (with a signature)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/959/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

firmar
"
"
Translate to Spanish:
to get together, to meet
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/961/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

reunirse
"
"
Translate to Spanish:
to lend
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/962/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

prestar
"
"
Translate to Spanish:
to demand, to require
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/963/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

exigir
"
"
Translate to Spanish:
to wrap
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/964/a_sound.mp3?1326221633 type=""audio/mpeg""></audio><br>

envolver
"
"
Translate to Spanish:
to shave
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/965/a_sound.mp3?1326221634 type=""audio/mpeg""></audio><br>

afeitarse
"
"
Translate to Spanish:
to solve (a problem)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/966/a_sound.mp3?1326221634 type=""audio/mpeg""></audio><br>

resolver (un problema)
"
"
Translate to Spanish:
to finish
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/967/a_sound.mp3?1326221634 type=""audio/mpeg""></audio><br>

terminar
"
"
Translate to Spanish:
to desire, to wish
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/968/a_sound.mp3?1326221634 type=""audio/mpeg""></audio><br>

desear
"
"
Translate to Spanish:
to sweep
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/969/a_sound.mp3?1326221634 type=""audio/mpeg""></audio><br>

barrer
"
"
Translate to Spanish:
to heat
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/970/a_sound.mp3?1326221635 type=""audio/mpeg""></audio><br>

calentar
"
